Class,Confidence,X,Y,Width,Height,Timestamp
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,353,102,539,391
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,349,88,540,409
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,351,93,541,404
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,346,97,532,405
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,347,105,531,392
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,337,87,538,338
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,284,108,464,363
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,255,118,447,363
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,238,111,421,369
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,234,112,410,367
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,227,110,406,372
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,233,110,408,377
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,234,112,410,376
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,236,112,414,371
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,238,114,416,370
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,237,112,415,372
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,240,112,416,371
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,236,112,418,368
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,250,110,424,372
"17:47 PM Wednesday, 08 November 2023 ()",hyena danger,264,123,462,362
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,207,112,398,380
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,206,106,380,390
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,198,104,383,396
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,200,98,383,397
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,199,99,386,394
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,197,101,388,398
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,198,101,387,397
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,201,111,393,382
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,193,101,392,393
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,195,105,388,393
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,194,104,389,396
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,194,105,391,395
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,201,109,393,390
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,202,107,393,393
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,204,106,393,389
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,204,109,395,388
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,204,112,398,381
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,205,114,400,375
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,210,112,403,379
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,219,109,410,374
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,226,109,413,377
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,232,107,416,375
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,239,103,414,381
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,240,106,421,380
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,242,104,424,382
"17:48 PM Wednesday, 08 November 2023 ()",hyena danger,245,99,420,382
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,252,141,409,391
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,250,135,414,388
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,252,131,409,392
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,257,131,420,393
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,262,130,419,392
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,273,133,434,389
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,270,137,442,370
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,279,135,443,387
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,278,137,446,385
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,277,130,444,393
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,280,130,449,392
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,281,132,462,375
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,329,118,520,386
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,372,128,541,396
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,386,112,583,385
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,417,103,608,395
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,427,102,623,392
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,434,102,625,396
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,428,100,619,394
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,429,97,617,403
"17:49 PM Wednesday, 08 November 2023 ()",hyena danger,432,124,626,377
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,358,93,553,379
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,367,86,561,380
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,358,89,555,377
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,346,82,546,388
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,347,86,543,394
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,344,77,536,391
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,343,84,534,386
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,355,86,543,392
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,267,109,455,385
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,245,97,427,401
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,230,114,423,388
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,228,109,421,397
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,233,114,428,389
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,240,109,432,397
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,241,109,430,395
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,236,109,429,395
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,236,109,428,396
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,228,109,428,397
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,241,102,424,402
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,272,108,476,387
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,233,102,438,401
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,223,112,425,395
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,217,122,412,404
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,197,109,401,403
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,201,117,399,405
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,201,109,399,412
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,204,114,396,409
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,204,111,395,411
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,198,105,402,417
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,209,118,402,404
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,296,141,516,393
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,265,150,460,402
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,201,128,402,428
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,186,120,381,431
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,175,116,384,429
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,172,113,380,434
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,161,114,378,437
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,160,113,378,436
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,160,107,379,442
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,163,109,382,439
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,169,113,386,434
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,186,118,393,430
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,178,117,379,429
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,168,123,370,438
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,156,114,371,436
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,154,116,367,438
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,158,112,368,436
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,155,122,384,424
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,173,121,380,437
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,184,128,391,436
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,200,122,408,438
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,204,111,419,433
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,204,108,415,422
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,209,112,412,412
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,209,111,412,413
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,208,124,401,401
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,205,120,396,407
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,203,122,396,405
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,209,124,387,408
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,205,128,390,402
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,199,120,380,408
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,198,120,382,406
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,199,114,380,414
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,207,130,389,402
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,216,129,392,409
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,221,117,396,417
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,226,119,406,408
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,223,118,406,415
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,228,114,402,413
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,225,119,400,414
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,226,128,401,409
"17:50 PM Wednesday, 08 November 2023 ()",hyena danger,218,135,393,411
"17:54 PM Wednesday, 08 November 2023 ()",hyena danger,282,0,430,37
"17:54 PM Wednesday, 08 November 2023 ()",hyena danger,284,-1,427,42
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,329,-12,466,242
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,310,115,479,389
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,307,118,489,384
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,307,118,493,383
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,309,122,489,380
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,309,117,495,379
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,319,126,512,378
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,323,124,511,377
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,319,119,510,380
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,317,121,507,377
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,320,116,504,386
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,317,121,507,375
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,317,121,506,377
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,321,124,517,375
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,345,100,530,394
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,368,100,553,395
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,396,106,578,396
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,408,111,603,393
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,397,95,598,405
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,196,156,364,419
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,181,154,360,420
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,197,149,368,421
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,364,104,557,391
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,377,105,574,394
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,366,100,568,400
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,360,122,545,399
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,340,99,531,396
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,342,110,520,391
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,343,112,518,390
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,343,111,524,391
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,347,102,527,399
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,366,82,560,404
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,310,95,545,392
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,295,98,481,397
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,263,109,464,395
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,248,109,446,389
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,242,96,442,407
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,242,99,441,406
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,243,98,441,408
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,238,101,444,405
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,242,97,442,408
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,244,100,438,408
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,242,102,442,406
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,244,100,440,409
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,242,100,440,410
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,242,100,441,409
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,241,105,440,406
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,243,99,442,406
"17:55 PM Wednesday, 08 November 2023 ()",hyena danger,263,108,449,391
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,236,101,428,405
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,226,116,418,410
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,211,114,411,409
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,213,108,406,417
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,217,111,410,412
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,222,117,419,409
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,218,110,417,414
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,221,110,418,414
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,221,113,414,412
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,219,111,411,412
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,215,116,412,411
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,215,115,410,412
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,216,115,412,411
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,222,114,416,414
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,217,113,418,412
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,221,113,419,412
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,225,111,418,415
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,228,107,421,420
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,229,109,426,419
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,230,109,427,425
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,231,104,432,431
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,237,110,431,429
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,237,101,430,436
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,243,98,428,435
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,251,100,425,434
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,247,94,427,436
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,253,89,427,441
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,262,101,433,429
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,258,111,442,416
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,248,98,451,409
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,255,104,460,403
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,266,97,470,413
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,288,118,477,406
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,296,109,499,417
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,304,98,511,408
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,320,91,527,412
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,322,113,518,410
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,298,130,479,405
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,264,100,447,394
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,222,117,432,410
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,206,119,412,427
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,194,123,389,435
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,189,116,390,437
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,193,126,391,431
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,206,117,425,433
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,312,118,552,427
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,346,124,586,419
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,379,101,589,430
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,379,102,585,426
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,361,106,586,429
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,347,110,566,425
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,308,96,523,399
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,250,141,449,428
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,217,142,420,431
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,195,136,406,433
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,187,123,388,461
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,170,137,381,445
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,168,133,379,450
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,169,139,380,444
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,181,133,385,446
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,200,139,399,441
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,235,142,423,432
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,299,135,531,412
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,343,120,575,418
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,379,103,591,431
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,372,107,586,432
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,317,131,561,419
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,294,132,513,428
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,262,134,474,435
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,239,122,455,437
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,239,118,456,444
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,268,141,480,418
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,286,136,533,410
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,349,116,579,415
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,378,108,617,431
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,373,92,589,408
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,335,125,568,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,290,135,519,422
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,262,132,476,434
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,235,132,449,434
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,238,122,441,433
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,248,141,471,428
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,299,133,510,429
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,345,124,555,431
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,378,106,585,436
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,379,102,592,441
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,338,118,582,419
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,299,122,541,418
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,272,129,495,428
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,252,131,458,433
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,231,129,441,439
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,229,124,439,445
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,250,136,458,433
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,255,127,487,426
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,297,131,524,422
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,338,135,565,418
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,376,116,584,426
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,381,102,619,444
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,372,119,587,429
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,302,141,520,420
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,264,131,490,417
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,262,116,462,439
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,257,123,469,425
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,285,119,492,419
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,314,99,539,396
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,359,113,584,418
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,393,109,620,425
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,404,103,630,431
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,404,112,624,424
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,345,120,567,414
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,307,126,534,410
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,294,124,509,413
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,282,112,485,417
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,277,112,480,418
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,280,108,480,424
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,285,108,489,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,298,120,498,415
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,300,120,511,413
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,315,108,511,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,308,109,517,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,302,115,516,424
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,296,118,502,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,281,119,488,419
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,271,120,480,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,277,118,478,422
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,281,122,496,419
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,303,131,515,415
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,318,106,521,428
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,323,105,527,431
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,312,116,518,423
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,295,113,510,426
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,291,115,489,422
"17:56 PM Wednesday, 08 November 2023 ()",hyena danger,278,112,491,421
